ItinID;MktID;MktCoupons;Year;Quarter;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;Origin;OriginCountry;OriginStateFips;OriginState;OriginStateName;OriginWac;DestAirportID;DestAirportSeqID;DestCityMarketID;Dest;DestCountry;DestStateFips;DestState;DestStateName;DestWac;AirportGroup;WacGroup;TkCarrierChange;TkCarrierGroup;OpCarrierChange;RPCarrier;TkCarrier;OpCarrier;BulkFare;Passengers;MktFare;MktDistance;MktDistanceGroup;MktMilesFlown;NonStopMiles;ItinGeoType;MktGeoType
201513819412;20151381941201;2;2015;1;13204;1320402;31454;10;0;12;5;5;33;12889;1288903;32211;14;0;32;10;10;85;4877;2622;0.0;1;0.0;0;0;0;0.0;1.0;237.0;2218.0;5;2454.0;2039.0;2;2
201513819413;20151381941301;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;214.74;2218.0;5;2218.0;2218.0;2;2
201513819413;20151381941302;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;731;416;0.0;1;0.0;0;0;0;0.0;1.0;220.26;236.0;1;2275.0;2218.0;2;2
201513819414;20151381941401;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;314.46;2218.0;5;2218.0;2218.0;2;2
201513819414;20151381941402;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;731;416;0.0;1;0.0;0;0;0;0.0;1.0;322.54;236.0;1;2275.0;2218.0;2;2
201513819415;20151381941501;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;506.99;2218.0;5;2218.0;2218.0;2;2
201513819415;20151381941502;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;731;416;0.0;1;0.0;0;0;0;0.0;1.0;520.01;236.0;1;2275.0;2218.0;2;2
201513819416;20151381941601;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;520.81;2218.0;5;2218.0;2218.0;2;2
201513819416;20151381941602;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;731;416;0.0;1;0.0;0;0;0;0.0;1.0;534.19;236.0;1;2275.0;2218.0;2;2
201513819417;20151381941701;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;2.0;5.5;2218.0;5;2218.0;2218.0;2;2
201513819417;20151381941702;1;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;840;345;0.0;0;0.0;0;0;0;0.0;2.0;5.5;2218.0;5;2218.0;2218.0;2;2
201513819418;20151381941801;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;2.0;191.0;2218.0;5;2218.0;2218.0;2;2
201513819418;20151381941802;1;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;840;345;0.0;0;0.0;0;0;0;0.0;2.0;191.0;2218.0;5;2218.0;2218.0;2;2
201513819419;20151381941901;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;3.0;193.5;2218.0;5;2218.0;2218.0;2;2
201513819419;20151381941902;1;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;840;345;0.0;0;0.0;0;0;0;0.0;3.0;193.5;2218.0;5;2218.0;2218.0;2;2
201513819420;20151381942001;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;3.0;196.0;2218.0;5;2218.0;2218.0;2;2
